company_id,period,metric,segment,value_million_thb,source_file,source_line_note
PTT,1Q2026,ebitda,GAS,16431,processed/PTT_1Q2026_performance_call.txt,"PTT EBITDA Breakdown by Business, unit MB"
PTT,1Q2026,ebitda,S&T,2624,processed/PTT_1Q2026_performance_call.txt,"PTT EBITDA Breakdown by Business, unit MB"
PTT,1Q2026,ebitda,TSO,6601,processed/PTT_1Q2026_performance_call.txt,"PTT EBITDA Breakdown by Business, unit MB"
PTT,1Q2026,ebitda,GSP,4374,processed/PTT_1Q2026_performance_call.txt,"PTT EBITDA Breakdown by Business, unit MB"
PTT,1Q2026,ebitda,NGV,-268,processed/PTT_1Q2026_performance_call.txt,"PTT EBITDA Breakdown by Business, unit MB"
PTT,1Q2026,ebitda,Others,3100,processed/PTT_1Q2026_performance_call.txt,"PTT EBITDA Breakdown by Business, unit MB"
PTT,1Q2026,ebitda,Trading,-151,processed/PTT_1Q2026_performance_call.txt,"PTT EBITDA Breakdown by Business, unit MB"
PTT,1Q2026,ebitda,PTT_only_total,16280,processed/PTT_1Q2026_performance_call.txt,"PTT EBITDA Breakdown by Business, unit MB"
PTT,1Q2026,revenue_share_pct,E&P,7,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart"
PTT,1Q2026,revenue_share_pct,Gas,10,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart"
PTT,1Q2026,revenue_share_pct,Trading,38,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart"
PTT,1Q2026,revenue_share_pct,P&R,29,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart"
PTT,1Q2026,revenue_share_pct,Oil & Retail,15,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart"
PTT,1Q2026,revenue_share_pct,Power,1,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart"
PTT,1Q2026,revenue_share_pct,Non-HC,0.02,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart"
PTT,1Q2026,revenue_share_pct,Others,0.3,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart"
PTT,1Q2026,ebitda_share_pct,E&P,29,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart, includes commodity hedging in EBITDA"
PTT,1Q2026,ebitda_share_pct,Gas,9,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart, includes commodity hedging in EBITDA"
PTT,1Q2026,ebitda_share_pct,Trading,21,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart, includes commodity hedging in EBITDA"
PTT,1Q2026,ebitda_share_pct,P&R,35,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart, includes commodity hedging in EBITDA"
PTT,1Q2026,ebitda_share_pct,Oil & Retail,4,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart, includes commodity hedging in EBITDA"
PTT,1Q2026,ebitda_share_pct,Power,2,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart, includes commodity hedging in EBITDA"
PTT,1Q2026,ebitda_share_pct,Non-HC,-0.2,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart, includes commodity hedging in EBITDA"
PTT,1Q2026,ebitda_share_pct,Others,-0.2,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart, includes commodity hedging in EBITDA"
PTT,1Q2026,net_income_share_pct,E&P,31,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart"
PTT,1Q2026,net_income_share_pct,PTT Gas & Trading,12,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart"
PTT,1Q2026,net_income_share_pct,P&R,38,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart"
PTT,1Q2026,net_income_share_pct,Oil & Retail,7,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart"
PTT,1Q2026,net_income_share_pct,Power,4,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart"
PTT,1Q2026,net_income_share_pct,Non-HC,-1,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart"
PTT,1Q2026,net_income_share_pct,Others,9,processed/PTT_1Q2026_performance_call.txt,"Performance composition chart"
