"company_id","section","row_key","source_role","source_id","published_at","source_title","source_url"
"MSFT","surprise_metrics","revenue","actual","MSFT_IR_Q3_RELEASE","2026-04-29","Microsoft FY2026 Q3 results","https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast"
"MSFT","surprise_metrics","revenue","estimate","MSFT_CAPITAL_PRE_20260429","2026-04-29","Microsoft pre-earnings consensus snapshot","https://capital.com/en-int/market-updates/microsoft-stock-forecast-04-05-2026"
"MSFT","surprise_metrics","gaap_eps","actual","MSFT_IR_Q3_RELEASE","2026-04-29","Microsoft FY2026 Q3 results","https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast"
"MSFT","surprise_metrics","gaap_eps","estimate","MSFT_CAPITAL_PRE_20260429","2026-04-29","Microsoft pre-earnings consensus snapshot","https://capital.com/en-int/market-updates/microsoft-stock-forecast-04-05-2026"
"MSFT","surprise_metrics","azure_growth_cc","actual","MSFT_IR_Q3_RELEASE","2026-04-29","Microsoft FY2026 Q3 results","https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast"
"MSFT","surprise_metrics","azure_growth_cc","estimate","MSFT_CAPITAL_PRE_20260429","2026-04-29","Microsoft pre-earnings consensus snapshot","https://capital.com/en-int/market-updates/microsoft-stock-forecast-04-05-2026"
"MSFT","peer_multiples","GOOGL","row","MSFT_HENRY_20260422","2026-04-22","Henry Fund Microsoft report","https://henryfund.tippie.uiowa.edu/sites/henryfund.tippie.uiowa.edu/files/2026-04/MSFT-S26.pdf"
"MSFT","peer_multiples","AMZN","row","MSFT_HENRY_20260422","2026-04-22","Henry Fund Microsoft report","https://henryfund.tippie.uiowa.edu/sites/henryfund.tippie.uiowa.edu/files/2026-04/MSFT-S26.pdf"
"MSFT","peer_multiples","META","row","MSFT_HENRY_20260422","2026-04-22","Henry Fund Microsoft report","https://henryfund.tippie.uiowa.edu/sites/henryfund.tippie.uiowa.edu/files/2026-04/MSFT-S26.pdf"
"MSFT","peer_multiples","ORCL","row","MSFT_HENRY_20260422","2026-04-22","Henry Fund Microsoft report","https://henryfund.tippie.uiowa.edu/sites/henryfund.tippie.uiowa.edu/files/2026-04/MSFT-S26.pdf"
"MSFT","peer_multiples","CRM","row","MSFT_HENRY_20260422","2026-04-22","Henry Fund Microsoft report","https://henryfund.tippie.uiowa.edu/sites/henryfund.tippie.uiowa.edu/files/2026-04/MSFT-S26.pdf"
"MSFT","forecast_history","FY2026-Q1:eps","forecast","MSFT_ZACKS_HISTORY","2026-04-29","Microsoft detailed earnings estimates","https://www.zacks.com/stock/quote/MSFT/detailed-earning-estimates"
"MSFT","forecast_history","FY2026-Q1:eps","actual","MSFT_ZACKS_HISTORY","2026-04-29","Microsoft detailed earnings estimates","https://www.zacks.com/stock/quote/MSFT/detailed-earning-estimates"
"MSFT","forecast_history","FY2026-Q2:eps","forecast","MSFT_ZACKS_HISTORY","2026-04-29","Microsoft detailed earnings estimates","https://www.zacks.com/stock/quote/MSFT/detailed-earning-estimates"
"MSFT","forecast_history","FY2026-Q2:eps","actual","MSFT_ZACKS_HISTORY","2026-04-29","Microsoft detailed earnings estimates","https://www.zacks.com/stock/quote/MSFT/detailed-earning-estimates"
"MSFT","forecast_history","FY2026-Q3:revenue","forecast","MSFT_CAPITAL_PRE_20260429","2026-04-29","Microsoft pre-earnings consensus snapshot","https://capital.com/en-int/market-updates/microsoft-stock-forecast-04-05-2026"
"MSFT","forecast_history","FY2026-Q3:revenue","actual","MSFT_IR_Q3_RELEASE","2026-04-29","Microsoft FY2026 Q3 results","https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast"
